questions,options,anwsers
What are 2 strategies for effective distributed PI planning events," 

Use one facilitator

Have separate PI planning events for each time zones

Use working agreements

Send one distributed team representative to PI planning 

Extend PI planning to 2.5 or 3 days.","Use working agreements

Extend PI planning to 2.5 or 3 days."
A team is running out of time to draft their PI objectives for the draft plan review because they are creating very detailed plans. What is the best action for the scrum master to take,"

Support the team and ask the business owner to wait for the team's PI objectives.

Escalate to the release train engineer

While the team is preparing plans, encourage the product owner to write the objectives

Coach the team to focus on the agenda and time boxes and not detailed Iteration planning.",Coach the team to focus on the agenda and time boxes and not detailed Iteration planning.
What are two common anti-pattern during program increment(PI) planning," (choose 2)

Alignment becomes the goal rather than a details plan

The team determines their own capacity and load

The innovation and planning (IP iteration) is left empty of planned work

Pressure is put on teams to overcommit 

A detailed plan becomes the goal rather than alignment","Pressure is put on teams to overcommit 

A detailed plan becomes the goal rather than alignment"
Which part of a feature describes the proposed measurable value to the end-user or business,"

Description
Benefit hypothesis
Acceptance criteria
Prioritization",Benefit hypothesis
"Story point estimation requires the evaluation of which three criteria? (Choose 3)

People: How many team members does it need?

Volume: How much is there?

Functionality: How many functions does it cover?

Knowledge: What do we know?

Complexity: How difficult is it?

Time: How fast can it get done?",,"Volume: How much is there?

Knowledge: What do we know?

Complexity: How difficult is it?"
Who is responsible for integrating all team PI objectives into program PI objectives,"

Release train engineer
Scrum masters
Business owners
Product manager",Release train engineer
What is an output of the PI planning process,"

Refined user stories
Actual business value
PI objective
Team iteration goal",PI objective
"When ROAMing, which step allows a team member to take responsibility for the risks","
Mitigated
Accepted
Resolved
Owned",Owned
Which pillar of scrum is also one of the SAFe core values,"

Transparency
Alignment
Inspection
Adaption",Transparency
An agile team that routinely excluded the product owner from Iteration retrospectives is ignoring which Scrum values,"

Focus
Commitment
Courage
Openness",Openness
What is an advantage of using an Agile approach,"

Phase gates help validate agreement on key deliverables

All key requirements are known at the start

Value is delivered early and continuously

Testing is defined until the end of the development process",Value is delivered early and continuously
Which event ensures the agile release train (ART) reviews the current state of the solution and provides an opportunity to identify improvements for the next PI," 

System demo
I&A
ART sync
Iteration review",I&A
